date,amount,balance
3/13/2019,-4.515,632.2302
3/13/2019,-1.8018,627.7152
3/12/2019,-9.6642,625.9134
3/12/2019,-6.3,616.2492
3/11/2019,-27.72,609.9492
3/9/2019,-16.6824,582.2292
3/10/2019,-18.6564,565.5468
3/9/2019,-2.1672,546.8904
3/9/2019,-14.5026,544.7232
3/10/2019,-6.93,530.2206
3/10/2019,-9.2442,523.2906
3/9/2019,-7.4592,514.0464
3/7/2019,-3.3306,506.5872
3/8/2019,-6.3,503.2566
3/8/2019,-4.2588,496.9566
3/8/2019,-7.5138,492.6978
3/8/2019,-0.4158,485.184
3/6/2019,-3.5616,484.7682
3/8/2019,-3.1332,481.2066
3/5/2019,-13.965,478.0734
3/5/2019,-3.9732,464.1084
3/5/2019,-4.7796,460.1352
3/5/2019,-1.6254,455.3556
3/4/2019,-14.385,453.7302
3/5/2019,-5.46,439.3452
3/5/2019,-8.6604,433.8852
3/4/2019,-31.08,425.2248
3/4/2019,-5.2374,394.1448
3/4/2019,-21.0336,388.9074
3/3/2019,-2.7678,367.8738
3/3/2019,-6.342,365.106
3/3/2019,-2.772,358.764
3/3/2019,-3.2844,355.992
3/4/2019,-23.0748,352.7076
3/3/2019,-7.4718,329.6328
3/4/2019,-0.483,322.161
3/4/2019,-2.3058,321.678
3/4/2019,-4.3596,319.3722
3/2/2019,-1.1424,315.0126
3/2/2019,-2.205,313.8702
3/2/2019,-1.8018,311.6652
3/1/2019,-1.6716,309.8634
3/1/2019,-13.944,308.1918
3/3/2019,-15.1998,294.2478
3/3/2019,-4.62,279.048
3/3/2019,-7.0644,274.428
3/1/2019,-1.827,267.3636
3/2/2019,-152.6028,265.5366
3/3/2019,-33.6,112.9338
3/1/2019,-4.6158,79.3338
2/28/2019,-2.079,74.718
2/28/2019,-1.4322,72.639
2/28/2019,-0.9702,71.2068
2/28/2019,-6.468,70.2366
2/28/2019,-5.0442,63.7686
2/28/2019,-0.483,58.7244
2/27/2019,-17.9256,58.2414
2/28/2019,-20.2566,40.3158
2/27/2019,-4.452,20.0592
2/27/2019,-1.1088,15.6072
2/28/2019,2267.6514,14.4984
2/27/2019,-0.483,2282.1498
2/27/2019,-6.0228,2281.6668
2/26/2019,-5.6364,2275.644
2/26/2019,-2.3562,2270.0076
2/26/2019,-0.483,2267.6514
2/25/2019,-50.4,2267.1684
2/25/2019,-0.483,2216.7684
2/24/2019,-3.717,2216.2854
2/26/2019,-2.9274,2212.5684
2/25/2019,-8.9796,2209.641
2/23/2019,-6.9258,2200.6614
2/22/2019,-12.6,2193.7356
2/24/2019,-16.9848,2181.1356
2/23/2019,-28.2576,2164.1508
2/22/2019,-18.4548,2135.8932
2/24/2019,-6.93,2117.4384
2/22/2019,-4.7796,2110.5084
2/22/2019,-0.483,2105.7288
2/22/2019,-0.315,2105.2458
2/22/2019,-0.483,2104.9308
2/21/2019,-24.8556,2104.4478
2/22/2019,-5.8464,2079.5922
2/21/2019,-0.483,2073.7458
2/20/2019,-0.483,2073.2628
2/20/2019,-0.483,2072.7798
2/20/2019,-0.483,2072.2968
2/19/2019,-8.0304,2071.8138
2/20/2019,-6.3,2063.7834
2/19/2019,-4.6662,2057.4834
2/19/2019,-25.2,2052.8172
2/19/2019,-0.483,2027.6172
2/19/2019,-0.315,2027.1342
2/18/2019,-29.4,2026.8192
2/17/2019,-2.2134,1997.4192
2/18/2019,-3.6498,1995.2058
2/18/2019,-23.6712,1991.556
2/17/2019,-67.2,1967.8848
2/15/2019,-3.9648,1900.6848
2/17/2019,-34.9944,1896.72
2/16/2019,-19.5468,1861.7256
2/16/2019,-6.006,1842.1788
2/15/2019,-0.924,1836.1728
2/14/2019,-42,1835.2488
2/16/2019,-1242.78,1793.2488
2/15/2019,-35.7,550.4688
2/15/2019,-9.3912,514.7688
2/15/2019,-4.1076,505.3776
2/14/2019,-0.483,501.27
2/14/2019,-0.483,500.787
2/14/2019,-25.8972,500.304
2/13/2019,-8.5638,474.4068
2/14/2019,-92.4798,465.843
2/13/2019,-73.71,373.3632
2/12/2019,-4.9728,299.6532
2/12/2019,-12.6,294.6804
2/13/2019,-2.7468,282.0804
2/8/2019,-4.62,279.3336
2/10/2019,-9.2358,274.7136
2/8/2019,-16.6026,265.4778
2/7/2019,-4.5318,248.8752
2/10/2019,-27.09,244.3434
2/8/2019,-0.4158,217.2534
2/7/2019,-3.1206,216.8376
2/7/2019,-0.483,213.717
2/5/2019,-3.0324,213.234
2/4/2019,-42,210.2016
2/4/2019,-2.3058,168.2016
2/4/2019,-6.3,165.8958
2/2/2019,-7.14,159.5958
2/2/2019,-1.8018,152.4558
2/1/2019,-9.24,150.654
2/3/2019,-46.6494,141.414
